guid,title
9250,Little Samson
22049,Little Samson PAL
11998,Lode Runner
9253,Lone Ranger
12310,Loopz
12311,Low G Man
9260,Lunar Pool
11999,Mach Rider
12313,Mad Max
9275,Magic Darts
12314,Magician
12315,Magmax
12316,Major League Baseball
12317,Maniac Mansion
12318,Mappy
13766,Mappy-Land
12319,Marble Madness
12000,Mario Bros
9287,Mario Is Missing
9289,Mario's Time Machine
12321,Master Chu and the Drunkard Hu
14925,Maxi 15
9307,M.C. Kids
12322,Mechanized Attack
16294,Megacom 76
9314,Mega Man
12323,Mega Man 2
9315,Mega Man 3
12324,Mega Man 4
9316,Mega Man 5
9317,Mega Man 6
12325,Menace Beach
12326,Mendel Palace
12327,Mermaids of Atlantis
12328,Metal Fighter
12329,Metal Gear
12330,Metal Mech
12331,Metal Storm
9331,Metroid
12332,Michael Andretti's World GP
9337,Mickey Mousecapade
9338,Mickey's Adventure in Numberland
9339,Mickey's Safari in Letterland
12333,Micro Machines
12334,Mig 29
9349,Might and Magic
12002,Mighty Bomb Jack
9351,Mighty Final Fight
12001,Mike Tyson's Punch-Out
12336,Millipede
12003,Milon's Secret Castle
9355,Mini Putt Super Pro Golf
12337,Miracle Piano
31608,Miracle Piano with Keyboard
19303,Mission Cobra
9358,Mission Impossible
9366,Monopoly
12340,Monster in My Pocket
12338,Monster Party
12339,Monster Truck Rally
21116,Moon Ranger
9377,Motor City Patrol
15976,Mr. Gimmick
9382,Ms. Pac-Man (Namco)
30883,Ms. Pac-Man (Tengen)
9387,M.U.L.E.
12341,Muppet Adventure
12312,MUSCLE
9390,Mutant Virus
14929,Myriad 6-in-1
12342,Mystery Quest
12343,NARC
16388,NES Advantage Controller
16389,NES Four Score
21587,NES Max
9449,NES Open Tournament Golf
19364,NES Satellite 4 Controller Port
9459,NFL Football
9483,Nigel Mansell's World Championship Racing
9487,Nightshade
12344,Ninja Crusaders
9488,Ninja Gaiden
9490,Ninja Gaiden III Ancient Ship of Doom
12004,Ninja Gaiden II The Dark Sword of Chaos
12345,Ninja Kid
19387,Nintendo Campus Challenge 1991
13743,Nintendo NES Console
13746,Nintendo NES Console w/ 72 Pin Connector
13805,Nintendo NES Controller
21251,Nintendo Test Cartridge
14933,Nintendo World Championship
16173,Nintendo World Championship Gold
9492,Nintendo World Cup
9495,Nobunaga's Ambition
13108,Nobunaga's Ambition 2
12346,North and South
14281,Operation Secret Storm
12348,Operation Wolf
12347,ORB 3-D
12349,Othello
9516,Overlord
12351,Pac-Mania
9518,Pac-Man (Namco)
30882,Pac-Man (Tengen)
16126,Palamedes
9523,Panic Restaurant
9528,Paperboy
9530,Paperboy 2
14932,Peek-a-Boo Poker
19452,Pesterminator
12352,Peter Pan and the Pirates
