uid,Product Name,Genre,UPC,ASIN,Release Date,Publisher,Sell Game Price,Sell Complete Price
8747,Code Name Viper,Action & Adventure,13388110216,B00004SVXL,12/1/90,Capcom,1.99,4.99
8753,Color A Dinosaur,Other,52145800106,B000CEN59C,1/1/93,,57.99,71
12135,Commando,Action & Adventure,13388110018,B000GBNMEO,11/1/86,Nintendo,2.99,6
12136,Conan the Mysteries of Time,Action & Adventure,50047105008,B00004SVOC,,Mindscape,11.99,17
12137,Conflict,Action & Adventure,34912784635,B00004SVOD,,"Vic Tokai, Inc.",7.99,11
12138,Conquest of the Crystal Palace,Action & Adventure,96066900033,B00004SVOK,1/1/90,Asmik,3.99,7
12139,Contra,Action & Adventure,15812890244,B0009VRFFS,2/1/88,Nintendo,24.99,32
12140,Contra Force,Action & Adventure,83717110286,B00004SVOE,,Konami,92.99,113
8764,Cool World,Action & Adventure,20295010065,B00004SVOH,12/1/93,Ocean Inc.,18.99,24
12142,Cowboy Kid,Action & Adventure,95474180105,B00004SVOI,,Romstar,70.99,87
12143,Crash 'n' the Boys: Street Challenge,Action & Adventure,45496640019,B001V8C49K,1/1/92,,14.99,20
12144,Crystalis,Action & Adventure,18484215001,B000E7FP1I,,Nintendo,12.99,17
8786,Crystal Mines,Action & Adventure,96962810023,B000HG9NFK,12/1/89,,26.99,34
8794,Cyberball,Sports,32264900215,B00004SVOL,12/1/92,Jaleco,4.99,8
8796,Cybernoid The Fighting Machine,Action & Adventure,21481102069,B00004SVOM,12/1/89,LJN,1.99,4.99
12145,Cyberstadium Series Base Wars,Sports,83717120155,B00004SVN8,1/1/91,Konami,6.99,10
8801,Dance Aerobics,Other,45496630430,B000IZSFCC,12/1/89,Nintendo,1.99,5
8804,Danny Sullivan's Indy Heat,Racing,45496640033,B001V8AD2A,,,10.99,15
8808,Darkman,Action & Adventure,20295010027,B00004SVON,12/1/91,Ocean Inc.,5.99,9
8810,Darkwing Duck,Action & Adventure,13388110315,B00004SVOO,12/1/92,Capcom,19.99,26
12146,Dash Galaxy in the Alien Asylum,Action & Adventure,13252002166,B00004SVOP,,Data East,1.99,4.99
8817,Day Dreaming Davey,Action & Adventure,40458333107,B0009PS440,7/1/92,Hal America,3.99,7
8818,Days Of Thunder,Racing,50047104827,B00004SVOQ,1/1/90,Mindscape,1.99,4.99
12147,Deadly Towers,Action & Adventure,47956120406,B000AXSAKO,1/1/86,Broderbund,1.99,4.99
12149,Deathbots,Action & Adventure,21619110096,B000Q7U746,,American Video Entertainment,13.99,18
12148,Death Race,Racing,7.23175E+11,B000B6AOY0,,,26.99,34
12150,Defender II,Action & Adventure,42884069735,B0009VTFBA,1/1/88,Nintendo,1.99,4.99
12151,Defender of the Crown,Action & Adventure,83717120049,B00004SVOR,7/1/89,Konami,1.99,5
8836,Defenders of Dynatron City,Action & Adventure,9119920117,B00004SVOS,7/1/92,JVC,8.99,13
12152,Deja Vu,Action & Adventure,44499000110,B00004SVOT,12/1/90,SEIKA VIDEO GAMES,5.99,9
12153,Demon Sword,Action & Adventure,20588010093,B00004SVOU,1/1/90,Taito,2.99,5
12154,Desert Commander,Action & Adventure,8.33032E+11,B000E7K9X2,1/1/89,Kotobuki System Co Ltd,3.99,7
