guid,title,ASIN,Cart Price,Complete Price,Genre,UPC,Publisher,Release Date
8643,Bram Stoker's Dracula,B00004SVP4,13.99,18,Action & Adventure,90451101067,Sony,12/1/93
12113,BreakThru,B000SQKOO8,1.99,4.99,Puzzle,13252002081,Data East,6/1/94
8645,Break Time The National Pool Tour,B00004SVNR,4.99,8,Sports,22909100179,FCI,12/1/93
14930,Bubble Bath Babes,,1364.99,1627,Action & Adventure,,,
11983,Bubble Bobble,B00004SVNS,13.99,19,Action & Adventure,20588010062,Taito,11/1/88
8654,Bubble Bobble Part 2,B00004SVNT,291.99,350,Action & Adventure,20588010703,Taito,12/1/93
8658,Bucky O'Hare,B00004SVNU,34.99,44,Action & Adventure,83717110293,Konami,12/1/92
8661,Bugs Bunny Birthday Blowout,B0002VFXVI,2.99,6,Action & Adventure,44499000103,,1/1/90
8662,Bugs Bunny Crazy Castle,B00004SVNV,5.99,9,Action & Adventure,44499000066,SEIKA VIDEO GAMES,7/1/89
12114,Bump 'n' Jump,B00004SVNW,1.99,4.99,Action & Adventure,34912784581,"Vic Tokai, Inc.",1/1/88
12115,Burai Fighter,B000LQHXCQ,3.99,6,Fighting,,Taxan,3/1/90
12116,Burgertime,B0003OS078,5.99,9,Puzzle,13252002043,Data East,5/1/87
8673,Buster Bros,B00004SVNX,23.99,30,Action & Adventure,39854000386,Hudson Soft,
12117,Cabal,B0019QAIMO,3.99,6,Action & Adventure,32244040894,,6/1/90
8683,Caesar's Palace,B00004SVNY,1.99,4.99,Sports,52145800090,Virgin,12/1/92
12118,California Games,B000E7H7AK,3.99,7,Sports,,EPYX,6/1/89
8687,California Raisins The Great Escape,,37.99,47,Action & Adventure,13388110179,,4/1/90
14928,Caltron 6-in-1,B003N0COZ8,319.99,383,Action & Adventure,7.42E+11,,
8695,Captain America and the Avengers,B00004SVNZ,13.99,19,Action & Adventure,13252002241,Data East,12/1/91
8696,Captain Planet and the Planeteers,B00004SVXI,5.99,9,Action & Adventure,50047110057,Mindscape,12/1/91
12120,Captain Skyhawk,B00004SVO0,1.99,4.99,Action & Adventure,32244040924,Parker Brothers,6/1/90
12121,Casino Kid,B000E7H7RI,1.99,4.99,Other,6527731069,Nintendo,10/1/89
8701,Casino Kid II,B00004SVO1,34.99,43,Other,93295921013,Sofel,12/1/93
8702,Castelian,B00004SVXJ,8.99,13,Action & Adventure,7.26268E+11,Triffix,12/1/91
12122,Castle of Deceit,B003LZVSZW,70.99,87,Action & Adventure,,,
12123,Castle of Dragon,B00004SVXK,3.99,6,Action & Adventure,92826890026,Seta USA,
12124,Castlequest,B0016J65PS,1.99,5,Action & Adventure,93992010003,,
8704,Castlevania,B00005AV8W,18.99,24,Action & Adventure,83717110040,Konami,5/1/87
8706,Castlevania III Dracula's Curse,B00004SVO2,16.99,23,Action & Adventure,83717110217,,9/1/90
11984,Castlevania II Simon's Quest,B000A4T1U6,5.99,9,Action & Adventure,7.81317E+11,Konami,12/1/88
12126,Caveman Games,B00004SVO3,2.99,6,Party,13252002173,Data East,10/1/90
16130,Challenge of the Dragon,,93.99,114,Action & Adventure,,,
8713,Championship Bowling,B00004SVO6,1.99,4.99,Sports,95474110102,Romstar,12/1/89
8714,Championship Pool,B00004SVO5,7.99,12,Sports,50047113669,Mindscape,12/1/93
16135,Championship Rally,,93.99,114,Racing,,,
14927,Cheetahmen II,B001M06HFE,1382.99,1648,Action & Adventure,7.30669E+11,,
8722,Chessmaster,B00004SVO7,1.99,4.99,Strategy,87855000508,Hi-Tech Expr.,1/1/90
8729,Chiller,B000E7BYNQ,54.99,67,Action & Adventure,84895000017,AGIC,6/1/86
12127,Chip and Dale Rescue Rangers,B00004SVTT,8.99,12,Action & Adventure,13388110209,Capcom,6/1/90
8730,Chip and Dale Rescue Rangers 2,B00004SVTU,114.99,139,Action & Adventure,13388110346,Capcom,2/1/94
12128,Chubby Cherub,B000E7DS6C,32.99,41,Action & Adventure,7.8455E+11,Zedocon,1/1/86
12129,Circus Caper,B000GAONP2,2.99,5,Action & Adventure,91199001114,TOHO Video Games,
12130,City Connection,B00004SVO8,1.99,5,Action & Adventure,32264900024,Jaleco,5/1/88
12131,Clash at Demonhead,B00004SVO9,9.99,14,Action & Adventure,34912784550,"Vic Tokai, Inc.",1/1/89
12132,Classic Concentration,B000E7BYVS,2.99,6,Action & Adventure,51871023582,GameTek,1/1/90
8738,Cliffhanger,B00004SVOB,11.99,17,Action & Adventure,90451106031,Sony,6/1/93
12133,Clu Clu Land,B000E7BYKY,11.99,16,Action & Adventure,2.33182E+11,Nintendo,10/1/85
12134,Cobra Command,B000MAXTLA,3.99,6,Action & Adventure,13252002104,Data East,1/1/88
8743,Cobra Triangle,B0006TNCWS,1.99,4.99,Action & Adventure,74299063527,,7/1/89
8747,Code Name Viper,B00004SVXL,1.99,4.99,Action & Adventure,13388110216,Capcom,12/1/90
8753,Color A Dinosaur,B000CEN59C,57.99,71,Other,52145800106,,1/1/93
12135,Commando,B000GBNMEO,2.99,6,Action & Adventure,13388110018,Nintendo,11/1/86
12136,Conan the Mysteries of Time,B00004SVOC,11.99,17,Action & Adventure,50047105008,Mindscape,
12137,Conflict,B00004SVOD,7.99,11,Action & Adventure,34912784635,"Vic Tokai, Inc.",
12138,Conquest of the Crystal Palace,B00004SVOK,3.99,7,Action & Adventure,96066900033,Asmik,1/1/90
12139,Contra,B0009VRFFS,24.99,32,Action & Adventure,15812890244,Nintendo,2/1/88
12140,Contra Force,B00004SVOE,92.99,113,Action & Adventure,83717110286,Konami,
8764,Cool World,B00004SVOH,18.99,24,Action & Adventure,20295010065,Ocean Inc.,12/1/93
12142,Cowboy Kid,B00004SVOI,70.99,87,Action & Adventure,95474180105,Romstar,
12143,Crash 'n' the Boys: Street Challenge,B001V8C49K,14.99,20,Action & Adventure,45496640019,,1/1/92
12144,Crystalis,B000E7FP1I,12.99,17,Action & Adventure,18484215001,Nintendo,
8786,Crystal Mines,B000HG9NFK,26.99,34,Action & Adventure,96962810023,,12/1/89
8794,Cyberball,B00004SVOL,4.99,8,Sports,32264900215,Jaleco,12/1/92
8796,Cybernoid The Fighting Machine,B00004SVOM,1.99,4.99,Action & Adventure,21481102069,LJN,12/1/89
12145,Cyberstadium Series Base Wars,B00004SVN8,6.99,10,Sports,83717120155,Konami,1/1/91
8801,Dance Aerobics,B000IZSFCC,1.99,5,Other,45496630430,Nintendo,12/1/89
8804,Danny Sullivan's Indy Heat,B001V8AD2A,10.99,15,Racing,45496640033,,
8808,Darkman,B00004SVON,5.99,9,Action & Adventure,20295010027,Ocean Inc.,12/1/91
8810,Darkwing Duck,B00004SVOO,19.99,26,Action & Adventure,13388110315,Capcom,12/1/92
12146,Dash Galaxy in the Alien Asylum,B00004SVOP,1.99,4.99,Action & Adventure,13252002166,Data East,
8817,Day Dreaming Davey,B0009PS440,3.99,7,Action & Adventure,40458333107,Hal America,7/1/92
8818,Days Of Thunder,B00004SVOQ,1.99,4.99,Racing,50047104827,Mindscape,1/1/90
12147,Deadly Towers,B000AXSAKO,1.99,4.99,Action & Adventure,47956120406,Broderbund,1/1/86
12149,Deathbots,B000Q7U746,13.99,18,Action & Adventure,21619110096,American Video Entertainment,
12148,Death Race,B000B6AOY0,26.99,34,Racing,7.23175E+11,,
12150,Defender II,B0009VTFBA,1.99,4.99,Action & Adventure,42884069735,Nintendo,1/1/88
12151,Defender of the Crown,B00004SVOR,1.99,5,Action & Adventure,83717120049,Konami,7/1/89
8836,Defenders of Dynatron City,B00004SVOS,8.99,13,Action & Adventure,9119920117,JVC,7/1/92
12152,Deja Vu,B00004SVOT,5.99,9,Action & Adventure,44499000110,SEIKA VIDEO GAMES,12/1/90
12153,Demon Sword,B00004SVOU,2.99,5,Action & Adventure,20588010093,Taito,1/1/90
12154,Desert Commander,B000E7K9X2,3.99,7,Action & Adventure,8.33032E+11,Kotobuki System Co Ltd,1/1/89
12155,Destination Earthstar,B00004SVOV,1.99,4.99,Other,21481102076,LJN,2/1/90
12156,Destiny of an Emperor,B00004SVOW,11.99,17,Action & Adventure,13388110230,Capcom,9/1/90
16134,Devil World,,104.99,127,Action & Adventure,,,
12157,Dick Tracy,B00004SVOX,1.99,4.99,Action & Adventure,45557072704,Bandai,1/1/90
8841,Die Hard,B00004SVXN,49.99,62,Action & Adventure,47875700116,ACTIVISION,5/1/92
12158,Dig Dug,B000B6AP3U,7.99,12,Action & Adventure,4.7311E+11,,6/4/85
12159,Dig Dug II,B000PE2GU8,4.99,8,Action & Adventure,15500183689,Bandai,12/1/89
12160,Digger T Rock,B00126Y1W4,6.99,11,Action & Adventure,32244041983,Milton Bradley,12/1/90
12161,Dirty Harry,B00004SVOZ,1.99,5,Action & Adventure,50047104803,Mindscape,12/1/90
21555,Dogbone Controller,B0034ZU72E,6.99,10,Controllers,8.13048E+11,,2/1/10
11985,Donkey Kong,B000E7K28Y,28.99,37,Action & Adventure,6.30423E+11,Nintendo,6/1/86
12163,Donkey Kong 3,B000H58VBS,9.99,14,Action & Adventure,41545304925,Nintendo,6/1/86
12164,Donkey Kong Classics,B0006TNCWI,11.99,16,Action & Adventure,45496630423,Nintendo,10/1/88
11986,Donkey Kong Jr,B000E7K30G,7.99,12,Action & Adventure,7.31069E+11,Nintendo,6/1/86
11987,Donkey Kong Jr Math,B000E7O0A0,36.99,46,Other,,Nintendo,10/1/85
12167,Double Dare,B00004SVP0,3.99,7,Action & Adventure,43948590004,GT Interactive,1/1/90
12207,Double Dragon,B000E7FTPA,5.99,10,Action & Adventure,31719198832,Nintendo,6/1/88
12208,Double Dragon II,B000EUTNVS,6.99,11,Action & Adventure,4.75E+11,Virtual Sports Inc.,1/1/90
12209,Double Dragon III,B00004SVP1,7.99,12,Action & Adventure,21481106050,LJN,2/1/91
11988,Double Dribble,B00004SVP2,1.99,4.99,Basketball,83717110057,Konami,9/1/87
12210,Double Strike,B000P6M192,5.99,9,Action & Adventure,,,1/1/90
8864,Dragon Fighter,B00004SVP5,97.99,119,Action & Adventure,93295913018,Sofel,1/1/92
12213,Dragon Power,B000VJWHY2,1.99,5,Action & Adventure,,Bandai,3/1/88
12217,Dragon's Lair the Legend,B00004SVP9,7.99,11,Action & Adventure,90451104020,Sony,
12214,Dragon Spirit,B001ASD7MY,2.99,5,Action & Adventure,,,12/1/89
12216,Dragon Warrior,B0002ST1YQ,2.99,6,RPG,,Nintendo,12/1/90
12215,Dragon Warrior II,B00004SVYR,23.99,30,RPG,7.19631E+11,Enix,9/1/90
8868,Dragon Warrior III,B00004SVP7,45.99,57,RPG,7.19631E+11,Enix,6/1/92
8869,Dragon Warrior IV,B00004SVP8,55.99,68,RPG,7.19631E+11,Enix,12/1/92
12211,Dr Chaos,B00004SVP3,2.99,5,Action & Adventure,22909100032,FCI,1/1/88
12212,Dr Jekyl and Mr Hyde,B0009PUB9G,5.99,9,Action & Adventure,45557071004,Bandai,4/1/89
8859,Dr. Mario,B00004SVXP,2.99,5,Puzzle,45496630621,Nintendo,1/1/90
16132,Dropzone,,25.99,33,Action & Adventure,,,
12218,Duck Hunt,B0012GWQPI,1.99,4.99,Other,79522653056,,4/1/84
30823,Duck Maze,,29.99,38,Action & Adventure,,,
12219,Duck Tales,B00004SVPA,21.99,28,Action & Adventure,13388110162,Capcom,9/1/89
8878,Duck Tales 2,B00004SVPB,109.99,133,Action & Adventure,13388110360,Capcom,10/1/93
